record,detector,rep,runtime_s,duration_s,ms_per_min_ecg,realtime_factor,samples_per_s,n_samples,n_detections,runtime_boundary
119,Embedded Pan-Tompkins firmware replay,5,0.31066640792414546,1805.556,10.32368116826547,0.00017206135280442447,1452970.0942440303,451389,1987,controlled offline execution time of the firmware-equivalent implementation
119,Embedded Pan-Tompkins firmware replay,6,0.3043354069814086,1805.556,10.113297188724424,0.00016855495314540707,1483195.8084573927,451389,1987,controlled offline execution time of the firmware-equivalent implementation
119,Embedded Pan-Tompkins firmware replay,7,0.30926420795731246,1805.556,10.277084996222076,0.0001712847499370346,1459557.8420840246,451389,1987,controlled offline execution time of the firmware-equivalent implementation
121,Embedded Pan-Tompkins firmware replay,1,0.31490301084704697,1805.556,10.46446670766391,0.00017440777846106515,1433422.306080288,451389,1861,controlled offline execution time of the firmware-equivalent implementation
121,Embedded Pan-Tompkins firmware replay,2,0.31888713082298636,1805.556,10.596862046582427,0.00017661436744304044,1415513.3787777883,451389,1861,controlled offline execution time of the firmware-equivalent implementation
121,Embedded Pan-Tompkins firmware replay,3,0.31840021698735654,1805.556,10.580681529258241,0.00017634469215430402,1417678.0539628977,451389,1861,controlled offline execution time of the firmware-equivalent implementation
121,Embedded Pan-Tompkins firmware replay,4,0.318220472894609,1805.556,10.574708496261838,0.00017624514160436395,1418478.8171988386,451389,1861,controlled offline execution time of the firmware-equivalent implementation
121,Embedded Pan-Tompkins firmware replay,5,0.3153451771941036,1805.556,10.479160231887693,0.00017465267053146154,1431412.409780276,451389,1861,controlled offline execution time of the firmware-equivalent implementation
121,Embedded Pan-Tompkins firmware replay,6,0.31464908504858613,1805.556,10.456028560130601,0.00017426714266884335,1434579.09604377,451389,1861,controlled offline execution time of the firmware-equivalent implementation
121,Embedded Pan-Tompkins firmware replay,7,0.3165149020496756,1805.556,10.518031079058492,0.0001753005179843082,1426122.426075081,451389,1861,controlled offline execution time of the firmware-equivalent implementation
122,Embedded Pan-Tompkins firmware replay,1,0.31770468200556934,1805.556,10.557568372475934,0.00017595947287459893,1420781.7056724622,451389,2475,controlled offline execution time of the firmware-equivalent implementation
122,Embedded Pan-Tompkins firmware replay,2,0.31600873405113816,1805.556,10.501210731247488,0.0001750201788541248,1428406.7222235505,451389,2475,controlled offline execution time of the firmware-equivalent implementation
122,Embedded Pan-Tompkins firmware replay,3,0.3174674748443067,1805.556,10.549685797980457,0.0001758280966330076,1421843.293462965,451389,2475,controlled offline execution time of the firmware-equivalent implementation
122,Embedded Pan-Tompkins firmware replay,4,0.31730500888079405,1805.556,10.544286930368065,0.00017573811550613443,1422571.303214375,451389,2475,controlled offline execution time of the firmware-equivalent implementation
122,Embedded Pan-Tompkins firmware replay,5,0.313799561932683,1805.556,10.427798260458816,0.00017379663767431362,1438462.8111648958,451389,2475,controlled offline execution time of the firmware-equivalent implementation
122,Embedded Pan-Tompkins firmware replay,6,0.3142462579999119,1805.556,10.442642310731273,0.00017404403851218787,1436418.059113775,451389,2475,controlled offline execution time of the firmware-equivalent implementation
122,Embedded Pan-Tompkins firmware replay,7,0.31685580709017813,1805.556,10.529359613000477,0.00017548932688334128,1424588.0615075277,451389,2475,controlled offline execution time of the firmware-equivalent implementation
123,Embedded Pan-Tompkins firmware replay,1,0.31552040693350136,1805.556,10.48498324948663,0.00017474972082477718,1430617.450031161,451389,1514,controlled offline execution time of the firmware-equivalent implementation
